padron;deuda;pagado;superficie;valuacion_yb;valucion_smt
281680;4906;0;596;319252;593809
281709;3264;0;368;158551;294905
281710;3523;0;368;200429;372798
281711;1747;1747;365;109622;203898
281712;1675;1675;368;95103;176892
281713;245;245;367;36128;67199
281714;2492;672;375;122645;228121
281715;1615;234;375;41153;76545
281716;3432;0;335;161215;299860
281717;1412;0;330;72912;135616
281718;2073;0;333;76750;142756
281719;2938;0;450;142991;265963
281720;1626;0;450;42094;78295
281721;1654;0;0;43302;80542
281722;1152;1152;428;227387;422940
281723;2171;0;327;76851;142944
281724;4716;0;1410;224405;417394
281725;3517;0;368;199321;370737
281726;2492;0;369;123071;228913
281727;572;217;368;32731;60881
281728;2353;0;368;103177;191910
281729;2944;0;366;144632;269016
281730;2363;213;368;104323;194041
281731;540;0;368;32731;60881
281732;3331;0;368;185531;345087
281733;1811;1811;328;121529;252124
281736;775;0;353;34791;64711
281737;823;0;382;37144;69087
281738;3491;0;450;187171;348138
281739;1626;0;450;42094;78295
281742;3533;0;395;204643;380636
281743;1776;788;360;77238;143664
281746;625;0;330;28075;52220
281747;2411;0;368;111518;207425
281748;1204;1204;364;74682;133812
281749;540;50;368;32731;60881
281750;2326;0;368;99469;185013
281751;696;696;361;32731;60881
281752;1090;1090;0;138258;257161
281753;2287;2287;368;109690;204024
281754;2234;708;368;146639;272749
281755;2396;0;330;108684;202153
281756;812;0;330;36575;68031
281757;2230;0;328;85717;159435
281758;3598;0;360;231576;430732
281759;3667;0;392;261223;485875
281762;1791;1791;450;118039;219552
281763;1575;1575;450;142653;265335
281764;3560;163;396;216265;402252
281765;1683;1683;355;96882;180202
281766;2326;0;330;99593;185243
281767;716;0;326;32175;59847
281768;3432;0;324;162099;301505
281769;2052;2052;368;160089;297767
281770;2888;0;362;133066;247503
281771;2534;2534;368;189334;352162
281772;3410;0;0;152969;284523
281773;2804;0;368;139109;258743
281774;1664;0;368;44068;81968
281775;4514;0;368;177391;329948
281776;2944;2944;368;143348;266627
281777;2459;0;330;118258;219960
281778;625;0;330;28075;52220
281779;3447;0;330;168564;313529
281780;2396;0;360;109044;202822
281781;1017;0;395;66315;123346
281782;2938;0;440;143249;266443
281785;1346;0;386;65874;122527
281786;2380;0;396;106942;198912
281787;2218;2218;336;138358;257346
281788;1076;1076;330;105329;195913
281789;1194;1194;330;109396;203476
281792;1654;0;368;43642;81175
281793;1654;0;368;43642;81175
